wmdr10-json,wmdr10-cardinality,wmdr10-has_history,records-part1,records-part1-cardinality,description,wmdr10-codelist,records-part1-link-relation,records-part1-link-group
observations[*].deployments[*].@gml:id,1..*,True,id,1,"record identifier (use deployment @gml:id; if multiple deployments exist, pick the most recent as the record id)",,,
observations[*].facility,1,False,links[*].href,0..*,"association link to the parent facility record (e.g., /collections/facilities/items/{id} or codes.wmo URI) - this must be a WSI",http://codes.wmo.int/wmdr,related,facility
observations[*].observedProperty,1,False,properties.wmdr:observedProperty.href,0..1,observed variable / measurand (WMO code list URI),http://codes.wmo.int/wmdr/ObservedVariableAtmosphere;http://codes.wmo.int/wmdr/ObservedVariable<domain>,related,
observations[*].programAffiliation[*],1..*,False,properties.wmdr:programAffiliation[*].href,0..*,program affiliation (multi-value form),http://codes.wmo.int/wmdr/ProgramAffiliation,related,
observations[*].type,1,False,properties.wmdr:geometryType.href,0..1,geometry type for this observation/deployment (WMO code list URI),http://codes.wmo.int/wmdr/Geometry,related,
observations[*].metadata.contact.organisationName,0..*,False,properties.contacts[*].organization,0..*,organization name of principle investigator for this observationCapability,,,
observations[*].metadata.contact.role,0..*,False,properties.contacts[*].roles[*],0..*,"fixed role code ""principalInvestigator""",,,
observations[*].metadata.contact.contactInfo.address.electronicMailAddress,0..*,False,properties.contacts[*].emails[*],0..*,metadata contact email address,,,
observations[*].metadata.contact.@id,0..*,False,properties.contacts[*].identifier,0..*,metadata contact identifier,,,
observations[*].metadata.dateStamp.Date,0..*,False,properties.updated,0..1,metadata datestamp -> record updated timestamp,,,
observations[*].result.ResultSet.distributionInfo.distributor.distributorContact.organisationName,0..*,False,properties.contacts[*].distributionInfo.organization,0..*,distributor contact organization name,,,
observations[*].result.ResultSet.distributionInfo.distributor.distributorContact.role,0..*,False,properties.contacts[*].distributionInfo.roles[*],0..*,distributor contact role (value or URI),,,
observations[*].result.ResultSet.distributionInfo.transferOptions.onLine[*].url,0..*,False,links[*].href,0..*,online resource URL (array form),,enclosure,distribution
observations[*].result.ResultSet.distributionInfo.transferOptions.onLine[*].description,0..*,False,links[*].title,0..*,online resource title/description (array form),,,distribution
observations[*].result.ResultSet.distributionInfo.transferOptions.onLine[*].@id,0..*,False,properties.wmdr:onlineResource[*].identifier,0..*,identifier of online resource (array form),,,
observations[*].deployments[*].beginPosition,0..*,True,time.interval[0],0..1,deployment begin time (current/most-recent),,,
observations[*].deployments[*].endPosition,0..*,True,time.interval[1],0..1,deployment end time (if ended),,,
observations[*].deployments[*].geospatialLocation.geoLocation,1,True,geometry,0..1,deployment location (parse 'lat lon [alt]' to GeoJSON Point),,,
observations[*].deployments[*].geospatialLocation.geopositioningMethod,0..*,True,properties.wmdr:geospatialLocationHistory[*].geopositioningMethod.href,0..*,geopositioning method (WMO code list URI),http://codes.wmo.int/wmdr/GeopositioningMethod,related,
observations[*].deployments[*].geospatialLocation.@gml:id,1..*,True,properties.wmdr:geospatialLocationHistory[*].identifier,0..*,geospatial location entry identifier,,,
observations[*].deployments[*].geospatialLocation.beginPosition,0..*,True,properties.wmdr:geospatialLocationHistory[*].time.interval[0],0..*,validity begin time for location entry,,,
observations[*].deployments[*].geospatialLocation.endPosition,0..*,True,properties.wmdr:geospatialLocationHistory[*].time.interval[1],0..*,*deprecate?*,,,
observations[*].deployments[*].localReferenceSurface,0..*,True,properties.wmdr:deploymentHistory[*].localReferenceSurface.href,0..*,local reference surface (WMO code list URI),http://codes.wmo.int/wmdr/ReferenceSurfaceType,related,
observations[*].deployments[*].heightAboveLocalReferenceSurface.#text,0..*,True,properties.wmdr:deploymentHistory[*].heightAboveLocalReferenceSurface.value,0..*,height above local reference surface value,,,
observations[*].deployments[*].heightAboveLocalReferenceSurface.@uom,0..*,True,properties.wmdr:deploymentHistory[*].heightAboveLocalReferenceSurface.uom,0..*,unit of measure for height,,,
observations[*].deployments[*].sourceOfObservation,0..*,True,properties.wmdr:deploymentHistory[*].sourceOfObservation.href,0..*,source of observation (WMO code list URI),http://codes.wmo.int/wmdr/SourceOfObservation,related,
observations[*].deployments[*].observingMethod,1,True,properties.wmdr:deploymentHistory[*].observingMethod.href,0..*,observing method (WMO code list URI),http://codes.wmo.int/wmdr;http://codes.wmo.int/wmdr/ObservingMethodAtmosphere,related,
observations[*].deployments[*].exposure,0..*,True,properties.wmdr:deploymentHistory[*].exposure.href,0..*,exposure (WMO code list URI),http://codes.wmo.int/wmdr/Exposure,related,
observations[*].deployments[*].representativeness,0..*,True,properties.wmdr:deploymentHistory[*].representativeness.href,0..*,representativeness (WMO code list URI),http://codes.wmo.int/wmdr/Representativeness,related,
observations[*].deployments[*].applicationArea[*],0..*,True,properties.wmdr:deploymentHistory[*].applicationArea[*].href,0..*,application area(s) (multi value form),http://codes.wmo.int/wmdr/ApplicationArea,related,
observations[*].deployments[*].manufacturer,0..*,True,properties.wmdr:deploymentHistory[*].manufacturer,0..*,instrument manufacturer,,,
observations[*].deployments[*].model,0..*,True,properties.wmdr:deploymentHistory[*].model,0..*,instrument model,,,
observations[*].deployments[*].serialNumber,0..*,True,properties.wmdr:deploymentHistory[*].serialNumber,0..*,instrument serial number,,,
observations[*].deployments[*].configuration,0..*,True,properties.wmdr:deploymentHistory[*].configuration,0..*,instrument configuration / setup details,,,
observations[*].deployments[*].responsibleParty.role,0..*,True,properties.wmdr:deploymentHistory[*].responsibleParty.role.href,0..*,responsible party role (value or URI),,related,
observations[*].deployments[*].instrumentOperatingStatus.instrumentOperatingStatus,0..*,True,properties.wmdr:instrumentOperatingStatusHistory[*].instrumentOperatingStatus.href,0..*,operating status (WMO code list URI),http://codes.wmo.int/wmdr/InstrumentOperatingStatus,related,
observations[*].deployments[*].instrumentOperatingStatus.@gml:id,1..*,True,properties.wmdr:instrumentOperatingStatusHistory[*].identifier,0..*,operating status entry identifier,,,
observations[*].deployments[*].instrumentOperatingStatus.beginPosition,0..*,True,properties.wmdr:instrumentOperatingStatusHistory[*].time.interval[0],0..*,operating status begin time,,,
observations[*].deployments[*].instrumentOperatingStatus.endPosition,0..*,True,properties.wmdr:instrumentOperatingStatusHistory[*].time.interval[1],0..*,operating status end time,,,
observations[*].deployments[*].dataGeneration[*].@gml:id,1..*,True,properties.wmdr:dataGenerationHistory[*].identifier,0..*,dataGeneration identifier,,,
observations[*].deployments[*].dataGeneration[*].beginPosition,1..*,True,properties.wmdr:dataGenerationHistory[*].time.interval[0],0..*,dataGeneration begin time,,,
observations[*].deployments[*].dataGeneration[*].endPosition,1..*,True,properties.wmdr:dataGenerationHistory[*].time.interval[1],0..*,dataGeneration end time,,,
observations[*].deployments[*].dataGeneration[*].sampling.Sampling,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.Sampling,0..*,sampling block (often empty/null in examples),,,
observations[*].deployments[*].dataGeneration[*].sampling.samplingProcedure,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingProcedure.href,0..*,sampling procedure (WMO code list URI),http://codes.wmo.int/wmdr/SamplingProcedure,related,
observations[*].deployments[*].dataGeneration[*].sampling.samplingStrategy,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingStrategy.href,0..*,sampling strategy (WMO code list URI),http://codes.wmo.int/wmdr/SamplingStrategy,related,
observations[*].deployments[*].dataGeneration[*].sampling.samplingTimePeriod,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingTimePeriod,0..*,sampling time period (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].sampling.temporalSamplingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.temporalSamplingInterval,0..*,temporal sampling interval (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].processing.Processing,0..*,True,properties.wmdr:dataGenerationHistory[*].processing.Processing,0..*,processing block (often empty/null in examples),,,
observations[*].deployments[*].dataGeneration[*].processing.aggregationPeriod,0..*,True,properties.wmdr:dataGenerationHistory[*].processing.aggregationPeriod,0..*,aggregation period (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].reporting.internationalExchange,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.internationalExchange,0..*,international exchange flag,,,
observations[*].deployments[*].dataGeneration[*].reporting.uom,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.uom.href,0..*,unit of measure for reporting (WMO code list URI),http://codes.wmo.int/wmdr/unit,related,
observations[*].deployments[*].dataGeneration[*].reporting.temporalReportingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.temporalReportingInterval,0..*,temporal reporting interval (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].reporting.timeStampMeaning,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.timeStampMeaning.href,0..*,timestamp meaning (WMO code list URI),http://codes.wmo.int/wmdr/TimeStampMeaning,related,
observations[*].deployments[*].dataGeneration[*].reporting.officialStatus,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.officialStatus,0..*,official status flag,,,
observations[*].deployments[*].dataGeneration[*].reporting.numberOfObservationsInReportingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.numberOfObservationsInReportingInterval,0..*,number of observations in reporting interval,,,
observations[*].deployments[*].dataGeneration[*].reporting.levelOfData,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.levelOfData.href,0..*,level of data (WMO code list URI),http://codes.wmo.int/wmdr/LevelOfData,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataFormat,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataFormat.href,0..*,data format (WMO code list URI),http://codes.wmo.int/wmdr/DataFormat,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataPolicy.dataPolicy,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataPolicy.dataPolicy.href,0..*,data policy (WMO code list URI),http://codes.wmo.int/wmdr/DataPolicy,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataPolicy.attribution.originator.role,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataPolicy.attribution.originator.role.href,0..*,originator role (value or URI),,related,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.@gml:id,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.identifier,0..*,vertical datum gml:id,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.identifier.@codeSpace,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.codeSpace,0..*,vertical datum identifier codespace,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.remarks,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.remarks,0..*,vertical datum remarks,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.scope,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.scope,0..*,vertical datum scope,,,
observations[*].deployments[*].dataGeneration[*].coverage.startMonth,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startMonth,0..*,coverage constraint: startMonth,,,
observations[*].deployments[*].dataGeneration[*].coverage.endMonth,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endMonth,0..*,coverage constraint: endMonth,,,
observations[*].deployments[*].dataGeneration[*].coverage.startWeekday,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startWeekday,0..*,coverage constraint: startWeekday,,,
observations[*].deployments[*].dataGeneration[*].coverage.endWeekday,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endWeekday,0..*,coverage constraint: endWeekday,,,
observations[*].deployments[*].dataGeneration[*].coverage.startHour,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startHour,0..*,coverage constraint: startHour,,,
observations[*].deployments[*].dataGeneration[*].coverage.endHour,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endHour,0..*,coverage constraint: endHour,,,
observations[*].deployments[*].dataGeneration[*].coverage.startMinute,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startMinute,0..*,coverage constraint: startMinute,,,
observations[*].deployments[*].dataGeneration[*].coverage.endMinute,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endMinute,0..*,coverage constraint: endMinute,,,
observations[*].deployments[*].dataGeneration[*].coverage.diurnalBaseTime,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.diurnalBaseTime,0..*,coverage constraint: diurnalBaseTime,,,
